Date,Open,High,Low,Close,Adj Close,Volume
2009-07-10,204.025269,207.905716,203.586899,206.426270,206.426270,5875000
2009-07-13,207.307953,211.467361,206.814804,211.357773,211.357773,8121600
2009-07-14,211.063873,212.568237,209.649185,211.552048,211.552048,5813200
2009-07-15,214.027771,218.520935,213.444962,218.266876,218.266876,7582200
2009-07-16,217.524658,222.042725,216.239487,220.473618,220.473618,13158100
2009-07-17,215.691528,216.926910,212.553299,214.321671,214.321671,13759500
2009-07-20,214.137360,215.616821,212.329132,214.281815,214.281815,6330600
2009-07-21,214.665375,215.143585,212.065125,213.151062,213.151062,5958600
2009-07-22,213.200867,214.296768,210.959274,213.046448,213.046448,5192700
2009-07-23,213.539597,219.781204,211.955536,217.853439,217.853439,6982400
2009-07-24,217.091293,224.403885,216.687805,222.525925,222.525925,7280900
2009-07-27,222.187195,222.540863,217.987930,221.569504,221.569504,5027500
2009-07-28,219.676605,220.578217,217.235748,219.103745,219.103745,5083900
2009-07-29,217.798630,218.082581,215.138611,217.305481,217.305481,3988800
2009-07-30,220.478592,224.892044,220.478592,221.987930,221.987930,6421000
2009-07-31,224.149826,225.504745,220.388931,220.697769,220.697769,5742200
2009-08-03,223.532150,226.102509,222.984207,225.260666,225.260666,5199900
2009-08-04,223.845978,226.152328,223.377731,226.017822,226.017822,4797400
2009-08-05,227.148590,227.601898,223.103760,224.727661,224.727661,4701400
2009-08-06,226.301758,226.590683,223.427536,224.339127,224.339127,4237600
2009-08-07,226.984207,228.852203,226.645477,227.696533,227.696533,5105100
2009-08-10,226.720200,228.349091,226.047714,227.452454,227.452454,3496900
2009-08-11,225.987946,227.761292,225.345352,226.122437,226.122437,3437800
2009-08-12,226.854691,230.012848,226.610611,228.433777,228.433777,4700200
2009-08-13,230.212112,231.492310,228.598160,230.276871,230.276871,4005200
2009-08-14,230.525925,230.725189,227.591934,229.141129,229.141129,3362700
2009-08-17,224.906998,225.151077,220.732635,221.614334,221.614334,5260000
2009-08-18,221.718948,223.014084,220.334137,221.808609,221.808609,4719800
2009-08-19,219.173477,221.669128,218.461151,221.156052,221.156052,4526800
2009-08-20,225.156067,230.227051,224.772491,229.345352,229.345352,8027600
2009-08-21,231.900772,232.174759,230.461182,231.751343,231.751343,7147600
2009-08-24,232.802399,234.167282,231.342865,233.489822,233.489822,4925100
2009-08-25,233.689072,236.289337,233.484848,234.804901,234.804901,4699400
2009-08-26,235.497299,235.616852,232.478607,233.126190,233.126190,3990400
2009-08-27,233.415100,233.415100,229.504761,232.159805,232.159805,4012600
2009-08-28,233.753830,235.303024,230.824814,231.507248,231.507248,3556400
2009-08-31,229.036514,230.067657,228.144852,229.973007,229.973007,3930400
2009-09-01,228.981720,232.538391,226.361542,227.029037,227.029037,5209100
2009-09-02,227.058929,228.309235,225.449951,225.659180,225.659180,3623100
2009-09-03,227.058929,228.269394,226.650452,227.905746,227.905746,3304600
2009-09-04,227.930664,230.436264,227.039001,229.788696,229.788696,3009500
2009-09-08,231.278107,232.623077,227.068893,228.453705,228.453705,5333300
2009-09-09,228.672882,232.264420,228.543365,231.118713,231.118713,4407100
2009-09-10,232.453705,234.590698,230.137390,234.590698,234.590698,5088100
2009-09-11,234.321701,235.766296,232.941879,235.188461,235.188461,3820000
2009-09-14,234.376495,237.509750,234.147354,236.672897,236.672897,3966100
2009-09-15,236.652969,238.560822,235.472397,237.878372,237.878372,4814000
2009-09-16,239.004150,243.771286,238.346619,243.233307,243.233307,5189900
2009-09-17,244.369049,247.756348,242.665436,244.941895,244.941895,8999700
2009-09-18,247.457474,247.562073,244.697815,244.812378,244.812378,6591500
2009-09-21,242.959335,248.518494,242.202164,247.572037,247.572037,4248600
2009-09-22,249.524719,250.057724,247.975525,248.598190,248.598190,6105100
2009-09-23,249.454987,252.553375,247.925720,248.299316,248.299316,5428600
2009-09-24,249.300568,249.768799,245.579514,247.457474,247.457474,5074000
2009-09-25,246.222092,249.031570,245.081375,245.320480,245.320480,4114400
2009-09-28,246.496078,249.813644,245.728943,248.334183,248.334183,3692300
2009-09-29,248.832321,248.941910,245.584488,248.334183,248.334183,4214000
2009-09-30,249.066437,249.136169,242.710266,246.999191,246.999191,6306800
2009-10-01,245.579514,247.308029,242.590714,242.690338,242.690338,5647400
2009-10-02,240.966797,244.951859,240.398926,241.385223,241.385223,5221000
2009-10-05,242.914490,245.295578,240.767548,243.347870,243.347870,4305100
2009-10-06,244.931931,248.752609,244.931931,248.438797,248.438797,5485000
2009-10-07,248.568298,258.525970,247.975525,257.803680,257.803680,9784800
2009-10-08,258.814911,260.648041,255.711533,256.129974,256.129974,8639800
2009-10-09,257.360352,259.781281,256.289368,257.161102,257.161102,5496600
2009-10-12,260.732697,261.898346,258.690369,261.041565,261.041565,6669200
2009-10-13,261.215912,262.745178,259.716522,262.072693,262.072693,6097400
2009-10-14,265.235840,266.790009,264.010437,266.660492,266.660492,6541200
2009-10-15,265.878418,267.447540,262.650513,263.965607,263.965607,12246500
2009-10-16,272.643066,276.339203,271.248291,273.898376,273.898376,17749900
2009-10-19,275.313049,275.766357,273.340454,275.014191,275.014191,6459800
2009-10-20,274.790009,275.442566,269.340454,274.829865,274.829865,8117600
2009-10-21,273.928253,278.630615,273.474945,274.521027,274.521027,7368600
2009-10-22,273.973083,276.463745,272.976807,276.010437,276.010437,4690400
2009-10-23,276.588287,277.903351,274.570831,275.811188,275.811188,4803200
2009-10-26,276.837341,279.771362,274.416412,276.070221,276.070221,5963000
2009-10-27,274.456268,276.244568,271.063995,273.121277,273.121277,6457000
